idna_subject,checker_type,destination,tested_at
www.ccc.sys.miui.com,AVAILABILITY,origin.list,2023-03-17 05:28:33.238661
mainyhdfjr.info,AVAILABILITY,origin.list,2023-03-17 05:28:33.546015
kcnncj.nl,AVAILABILITY,origin.list,2023-03-17 05:28:33.956577
feb.kkooppt.com,AVAILABILITY,origin.list,2023-03-17 05:28:34.028481
www.geofence.sys.miui.com,AVAILABILITY,origin.list,2023-03-17 05:28:34.183657
nbrwer12.eu,AVAILABILITY,origin.list,2023-03-17 05:28:34.532545
kcnpecdbnserv.org,AVAILABILITY,origin.list,2023-03-17 05:28:34.850688
kcnncdn.in,AVAILABILITY,origin.list,2023-03-17 05:28:35.016509
nbrwer17.eu,AVAILABILITY,origin.list,2023-03-17 05:28:35.048413
mainjfn.cn,AVAILABILITY,origin.list,2023-03-17 05:28:35.217132
www.fcanr.tracking.miui.com,AVAILABILITY,origin.list,2023-03-17 05:28:35.488997
mainsrvikjmain.info,AVAILABILITY,origin.list,2023-03-17 05:28:35.586645
www.tracking.intl.miui.com,AVAILABILITY,origin.list,2023-03-17 05:28:35.596674
nbrwer.eu,AVAILABILITY,origin.list,2023-03-17 05:28:35.814475
www.notification-browser.tools,AVAILABILITY,origin.list,2023-03-17 05:28:35.912104
nbrwer2.eu,AVAILABILITY,origin.list,2023-03-17 05:28:36.036830
www.cc.sys.miui.com,AVAILABILITY,origin.list,2023-03-17 05:28:36.136459
www.tracking.miui.com,AVAILABILITY,origin.list,2023-03-17 05:28:36.161924
notification-browser.tools,AVAILABILITY,origin.list,2023-03-17 05:28:36.390814
www.api.setting.intl.miui.com,AVAILABILITY,origin.list,2023-03-17 05:28:36.652087
www.mysterysnooper.com,AVAILABILITY,origin.list,2023-03-17 05:28:36.710541
nbrwer11.eu,AVAILABILITY,origin.list,2023-03-17 05:28:36.713945
ncdndswjfnsite.com,AVAILABILITY,origin.list,2023-03-17 05:28:36.716983
nbrwer15.eu,AVAILABILITY,origin.list,2023-03-17 05:28:37.078684
nbrwer1.eu,AVAILABILITY,origin.list,2023-03-17 05:28:37.260441
nbrwer10.eu,AVAILABILITY,origin.list,2023-03-17 05:28:37.305500
mainncjservsite.info,AVAILABILITY,origin.list,2023-03-17 05:28:37.312350
mainncjpbnmain.ro,AVAILABILITY,origin.list,2023-03-17 05:28:37.608366
